miasto,lat,lon,kraj,iso,region,kontynent
Halwan,29.8453,31.3333,Egypt,EGY,Al Qāhirah,Africa
Port-Bouet,5.2667,-3.9,Côte d’Ivoire,CIV,Abidjan,Africa
Malanje,-9.5333,16.35,Angola,AGO,Malanje,Africa
Djibouti,11.5883,43.145,Djibouti,DJI,Djibouti,Africa
Tunis,36.8064,10.1817,Tunisia,TUN,Tunis,Africa
Garoua,9.3,13.4,Cameroon,CMR,Nord,Africa
Bafoussam,5.4667,10.4167,Cameroon,CMR,Ouest,Africa
Somolu,6.5408,3.3872,Nigeria,NGA,Lagos,Africa
Al Mahallah al Kubra,30.9686,31.1636,Egypt,EGY,Al Gharbīyah,Africa
Uvira,-3.4,29.15,Congo (Kinshasa),COD,Sud-Kivu,Africa
Mbale,1.0806,34.175,Uganda,UGA,Mbale,Africa
Port Sudan,19.6167,37.2167,Sudan,SDN,Red Sea,Africa
Rabat,34.0209,-6.8416,Morocco,MAR,Rabat-Salé-Kénitra,Africa
Shibin al Qanatir,30.3133,31.3214,Egypt,EGY,Al Qalyūbīyah,Africa
Nakuru,-0.3,36.0667,Kenya,KEN,Nakuru,Africa
Abu Hummus,31.1006,30.3128,Egypt,EGY,Al Buḩayrah,Africa
Uyo,5.0333,7.9275,Nigeria,NGA,Akwa Ibom,Africa
Rustenburg,-25.6667,27.2428,South Africa,ZAF,North West,Africa
Mbeya,-8.9,33.45,Tanzania,TZA,Mbeya,Africa
El Geneina,13.45,22.45,Sudan,SDN,West Darfur,Africa
Santa Cruz,28.4667,-16.25,Spain,ESP,Canary Islands,Africa
Kassala,15.45,36.4,Sudan,SDN,Kassala,Africa
Nansana,0.3639,32.5286,Uganda,UGA,Wakiso,Africa
Beira,-19.8333,34.85,Mozambique,MOZ,Sofala,Africa
Touba,14.8667,-15.8833,Senegal,SEN,Diourbel,Africa
Ndola,-12.9689,28.6325,Zambia,ZMB,Copperbelt,Africa
Port Said,31.2625,32.3061,Egypt,EGY,Būr Sa‘īd,Africa
Meknes,33.895,-5.5547,Morocco,MAR,Fès-Meknès,Africa
Al Fayyum,29.3084,30.8441,Egypt,EGY,Al Fayyūm,Africa
Suez,29.9667,32.55,Egypt,EGY,As Suways,Africa
Abu Tisht,26.1183,32.0953,Egypt,EGY,Qinā,Africa
Benguela,-12.55,13.4167,Angola,AGO,Benguela,Africa
Al Fashn,28.8227,30.8992,Egypt,EGY,Banī Suwayf,Africa
Cadaado,6.1403,46.6256,Somalia,SOM,Galguduud,Africa
Biba,28.9218,30.9844,Egypt,EGY,Banī Suwayf,Africa
Newcastle,-27.7464,29.9328,South Africa,ZAF,KwaZulu-Natal,Africa
Kitwe,-12.8167,28.2,Zambia,ZMB,Copperbelt,Africa
Ile-Ife,7.4667,4.5667,Nigeria,NGA,Osun,Africa
